"{""chat"": [{""sex"": ""1"", ""content"": ""你好，请问 XX 路是不是在这坐""}, {""sex"": ""2"", ""content"": ""是的""}, {""sex"": ""1"", ""content"": ""哇，一出门就碰上好人了，上次问路一个丑丑的女人都不理我，看来外表和内在果然是成正比的""}, {""sex"": ""2"", ""content"": ""哈哈~""}, {""sex"": ""1"", ""content"": ""我对这边不怎么熟，等下万一迷路遇不到你这样的好人就麻烦了，善良 妹子,要不留个电话给我就可以随时问你路了，你号码多少呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""?你这种人在电视里只能活两集?""}, {""sex"": ""1"", ""content"": ""算命的告诉我，这辈子只能和漂亮活好的女人在一起""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""劝你少发自拍，害我啥也没干光盯着你照片看了两小时。""}, {""sex"": ""1"", ""content"": ""hi,你朋友圈的那碗鸡汤我喝了。""}, {""sex"": ""1"", ""content"": ""翻到你分享的那首歌，最近都是我的单曲循环。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""Hi,我有个问题想问一下女生意见，女孩子一般是先贴睫毛还是先涂眼影的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得我好看吗""}, {""sex"": ""1"", ""content"": ""好看啊，难道有人比你好看的吗？""}, {""sex"": ""1"", ""content"": ""你不是好看，你是非常的漂亮。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也要好好的""}, {""sex"": ""1"", ""content"": ""我要跟你一起好好的。""}, {""sex"": ""1"", ""content"": ""我要是不好的话，你会让我变好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你看你""}, {""sex"": ""1"", ""content"": ""对不起让你看到这么帅的我了。""}, {""sex"": ""1"", ""content"": ""那你一定要看仔细咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""对方不理你""}, {""sex"": ""1"", ""content"": ""你不理我，我就来理你！""}, {""sex"": ""1"", ""content"": ""你不理人的时候没想到也能这么好看啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不理我啊""}, {""sex"": ""1"", ""content"": ""我为什么要不理你呢。""}, {""sex"": ""1"", ""content"": ""你这么可爱，我可舍不得不理你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想你？？？？""}, {""sex"": ""1"", ""content"": ""不想我，你还想谁！""}, {""sex"": ""1"", ""content"": ""我这么帅，你肯定得想我啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想想要我？""}, {""sex"": ""1"", ""content"": ""无价之宝谁不想要呢。""}, {""sex"": ""1"", ""content"": ""我想不想和你给不给是两回事吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好，你是谁""}, {""sex"": ""1"", ""content"": ""我是谁不重要，重要的是我们很有缘。""}, {""sex"": ""1"", ""content"": ""我们聊着聊着你就知道我是谁了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是你是你是你""}, {""sex"": ""1"", ""content"": ""重要的事情必须说三遍""}, {""sex"": ""1"", ""content"": ""是我是我是我，就是我！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""╰(*°▽°*)╯你好~""}, {""sex"": ""1"", ""content"": ""哇，小仙女的打招呼方式好可爱呀""}, {""sex"": ""1"", ""content"": ""嘻嘻嘻，你也好啊，小仙女""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜有没有""}, {""sex"": ""1"", ""content"": ""那你猜猜我猜了没有。""}, {""sex"": ""1"", ""content"": ""猜中了有啥奖励不？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有没有红包""}, {""sex"": ""1"", ""content"": ""穷得吃不起饭了哪里还有红包？""}, {""sex"": ""1"", ""content"": ""有啊，给我女朋友准备的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有错""}, {""sex"": ""1"", ""content"": ""我错在没有早点遇见你。""}, {""sex"": ""1"", ""content"": ""那我是不是可以认罪了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说我猜不猜""}, {""sex"": ""1"", ""content"": ""你猜不猜我都不猜！""}, {""sex"": ""1"", ""content"": ""猜对了可是有奖励的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我要看看你""}, {""sex"": ""1"", ""content"": ""我怕你看了会睡不着。""}, {""sex"": ""1"", ""content"": ""小心看了心动呦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还没追我""}, {""sex"": ""1"", ""content"": ""我这不是已经在追你了吗？""}, {""sex"": ""1"", ""content"": ""你是想让我怎么追你呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你再等等""}, {""sex"": ""1"", ""content"": ""可以别再让我等太久了吗？""}, {""sex"": ""1"", ""content"": ""好，反正都等了这么久也不在乎多等一会。""}], ""lock"": 1}"
