"{""chat"": [{""sex"": ""1"", ""content"": ""你好……请问附近有个星巴克，你知道在哪里么？""}, {""sex"": ""2"", ""content"": ""知道/不知道""}, {""sex"": ""1"", ""content"": ""很谢谢你……你在这里逛街啊，我朋友还没有来。我觉得你人特别好，如果有机会的话，应该一起坐坐，喝杯咖啡，我们说不定能成为不错的朋友""}, {""sex"": ""2"", ""content"": ""(给出回应）""}, {""sex"": ""1"", ""content"": ""我一会儿就要去找朋友了，希望能再见到你，不如我们交换个联系方式吧！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想都别想""}, {""sex"": ""1"", ""content"": ""人总要想的，不然就和咸鱼有啥区别。""}, {""sex"": ""1"", ""content"": ""你说不想就不想，我多没面子啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你爱不爱我？""}, {""sex"": ""1"", ""content"": ""爱不爱你，你自己更清楚不是吗？""}, {""sex"": ""1"", ""content"": ""我爱你不止三千遍！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想打你。""}, {""sex"": ""1"", ""content"": ""打吧，打坏了就让你赔我一辈子。""}, {""sex"": ""1"", ""content"": ""打是亲，想亲就亲吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜猜看啊""}, {""sex"": ""1"", ""content"": ""我猜中了能给我奖励吗。""}, {""sex"": ""1"", ""content"": ""那你猜我猜不猜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又不追我""}, {""sex"": ""1"", ""content"": ""难道我现在这不是在追你吗？""}, {""sex"": ""1"", ""content"": ""我怕你跑太快了我追不上啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是真的会说""}, {""sex"": ""1"", ""content"": ""还好，反正是说给你听的。""}, {""sex"": ""1"", ""content"": ""我只是想把一些话说出来而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""自以为是""}, {""sex"": ""1"", ""content"": ""我就是要在这个荒唐的世界里清醒地活着。""}, {""sex"": ""1"", ""content"": ""如果自己都不以自己为世界中心的话还有谁会把你当回事？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是以为我喜欢你""}, {""sex"": ""1"", ""content"": ""不是，我觉得我已经喜欢上你了。""}, {""sex"": ""1"", ""content"": ""有这种可能咯，那得看你是不是真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你相信星座""}, {""sex"": ""1"", ""content"": ""我相信你。""}, {""sex"": ""1"", ""content"": ""我说不相信，你信吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你敢娶我""}, {""sex"": ""1"", ""content"": ""娶你是我的毕生心愿。""}, {""sex"": ""1"", ""content"": ""不娶你，我还能娶谁啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你干嘛呢！""}, {""sex"": ""1"", ""content"": ""偷偷看我喜欢的人呢。""}, {""sex"": ""1"", ""content"": ""在等我喜欢的人问我在干嘛呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你搁哪呢""}, {""sex"": ""1"", ""content"": ""搁你心里呢。""}, {""sex"": ""1"", ""content"": ""想知道我在哪就来找我呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了，你呢？""}, {""sex"": ""1"", ""content"": ""我在等你约我吃饭呢，你竟然自己偷偷吃了。""}, {""sex"": ""1"", ""content"": ""好吧，我又要孤独地一个人去吃饭了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我夸你呢""}, {""sex"": ""1"", ""content"": ""那我是不是应该心花怒放呢。""}, {""sex"": ""1"", ""content"": ""不用夸我，这都是事实而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡不睡？""}, {""sex"": ""1"", ""content"": ""你不和我说晚安，我怎么睡。""}, {""sex"": ""1"", ""content"": ""那你什么时候睡呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""需要你陪我""}, {""sex"": ""1"", ""content"": ""放心，我三陪的。""}, {""sex"": ""1"", ""content"": ""那陪你睡觉陪你洗澡都要陪吗？""}], ""lock"": 1}"
