"{""chat"": [{""sex"": ""2"", ""content"": ""先生你是哪位？""}, {""sex"": ""1"", ""content"": ""你竟然不记得我了，也罢，我们重新再认识一次吧""}, {""sex"": ""2"", ""content"": ""我们以前认识？""}, {""sex"": ""1"", ""content"": ""那是上辈子的事，多亏我还认得你的手和手毛""}, {""sex"": ""2"", ""content"": ""那你心里装的唯一的一个人是谁？""}, {""sex"": ""1"", ""content"": ""过高中的人都知道，心是分成两瓣的，左心房和右心房，左心房里面住着我最爱的女人，右心房里面住着最爱我的女人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""我帅吗""}, {""sex"": ""2"", ""content"": ""不帅 ""}, {""sex"": ""1"", ""content"": ""挺好，起码确定你加我不是垂涎我的美色""}, {""sex"": ""2"", ""content"": ""我呸，这么自恋""}, {""sex"": ""1"", ""content"": ""随地吐痰，罚款""}, {""sex"": ""1"", ""content"": ""老子撩你还这么凶""}, {""sex"": ""2"", ""content"": ""呸呸，我承受不起?""}, {""sex"": ""1"", ""content"": ""放心，我才一百一，没你重 ""}, {""sex"": ""1"", ""content"": ""记住我这个不一样的社会主义接班人，好了互相认识了可以进入真诚的环节了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么又看见你了？""}, {""sex"": ""1"", ""content"": ""这就是传说中的阴魂不散""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你你你你""}, {""sex"": ""1"", ""content"": ""没见过这么帅气的我吗？""}, {""sex"": ""1"", ""content"": ""怎么？看到我就害羞得接不上话来了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不理就不理""}, {""sex"": ""1"", ""content"": ""说气话的，哪能不理我家小可爱啊。""}, {""sex"": ""1"", ""content"": ""我说不理你还真的信啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有空不""}, {""sex"": ""1"", ""content"": ""现在有空呀，是不是需要我的帮忙？""}, {""sex"": ""1"", ""content"": ""我有没有空要取决于你找我什么事呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要看就看啊""}, {""sex"": ""1"", ""content"": ""那我要看你一辈子。""}, {""sex"": ""1"", ""content"": ""不看白不看，反正不花钱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等等哈""}, {""sex"": ""1"", ""content"": ""我都等了二十多年了，再等会儿也无妨。""}, {""sex"": ""1"", ""content"": ""我有点急不可耐了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""母亲节送妈妈礼物""}, {""sex"": ""1"", ""content"": ""把我带回家肯定是给妈妈最好的礼物。""}, {""sex"": ""1"", ""content"": ""其实妈妈并不是想要什么礼物，只要有你在妈妈就最开心啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说啥就是啥吧""}, {""sex"": ""1"", ""content"": ""那我说你是我女朋友，你是吗？""}, {""sex"": ""1"", ""content"": ""你怎么了？今天的状态不太对。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你信不信我打你""}, {""sex"": ""1"", ""content"": ""我要是不信，你是不是真的来打我！""}, {""sex"": ""1"", ""content"": ""信，我怎么能不信呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你自信""}, {""sex"": ""1"", ""content"": ""一个自信的男人才更有可能获得女人的芳心。""}, {""sex"": ""1"", ""content"": ""不自信的话还怎么追你？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""娶不到老婆""}, {""sex"": ""1"", ""content"": ""我要是娶不到老婆我就缠着你，看你怎么办。""}, {""sex"": ""1"", ""content"": ""怎么会呢，有你这个好老婆我怕什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""欠揍？""}, {""sex"": ""1"", ""content"": ""就你这个小身板你还想揍我呢？""}, {""sex"": ""1"", ""content"": ""你敢揍我我就敢亲你。""}], ""lock"": 1}"
