"{""chat"": [{""sex"": ""1"", ""content"": ""你觉得怎样更好看些？?""}, {""sex"": ""1"", ""content"": ""我需要点意见。你说我是戴眼镜好看还是不戴好看？""}, {""sex"": ""2"", ""content"": ""我觉得这样好看一点。""}, {""sex"": ""1"", ""content"": ""我朋友说我戴眼镜的时候像的特工！""}, {""sex"": ""2"", ""content"": ""没错，就是像。""}, {""sex"": ""1"", ""content"": ""为什么你认为这样好？""}, {""sex"": ""2"", ""content"": ""（说出她的意见）""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""谢谢你。""}, {""sex"": ""2"", ""content"": ""什么？""}, {""sex"": ""1"", ""content"": ""谢谢你。""}, {""sex"": ""2"", ""content"": ""为什么谢谢我?""}, {""sex"": ""1"", ""content"": ""我觉得这里很热，但你的眼神很冷，站在你隔壁我觉得特别凉快，所以谢谢你。""}, {""sex"": ""2"", ""content"": ""哈哈哈~""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好逗哦""}, {""sex"": ""1"", ""content"": ""我只是幽默风趣，不想我们的聊天枯燥乏味。""}, {""sex"": ""1"", ""content"": ""能逗你开心不就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你心情好吗""}, {""sex"": ""1"", ""content"": ""心情不好怎么和你说话啊。""}, {""sex"": ""1"", ""content"": ""有你在我心情能不好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好哟""}, {""sex"": ""1"", ""content"": ""不好不好，我想你了""}, {""sex"": ""1"", ""content"": ""如果你在我身边就更好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你呀""}, {""sex"": ""1"", ""content"": ""你就不怕被我抓到来打屁屁？""}, {""sex"": ""1"", ""content"": ""小样，就你还打得过我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你你你你好""}, {""sex"": ""1"", ""content"": ""刚说完你好，我就又忍不住跟你说想你""}, {""sex"": ""1"", ""content"": ""哟，挺懂事嘛，还知道来请安了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃吃饭""}, {""sex"": ""1"", ""content"": ""买点好吃的东西吃吃吧。""}, {""sex"": ""1"", ""content"": ""养个吃货应该会很费钱吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看你？""}, {""sex"": ""1"", ""content"": ""看看我不可以吗？""}, {""sex"": ""1"", ""content"": ""怎么不喜欢看着我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""追我吗""}, {""sex"": ""1"", ""content"": ""难道我不可以追你吗？""}, {""sex"": ""1"", ""content"": ""我想追你了，你说咋办呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我在追剧""}, {""sex"": ""1"", ""content"": ""我想知道你什么时候来追我。""}, {""sex"": ""1"", ""content"": ""追剧有什么意思，不如我追你吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可以啊～""}, {""sex"": ""1"", ""content"": ""有你在当然是可以啊。""}, {""sex"": ""1"", ""content"": ""说好了可不能反悔的呦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你变态吗""}, {""sex"": ""1"", ""content"": ""我要是变态你是啥啊！""}, {""sex"": ""1"", ""content"": ""见过这么帅气的变态吗。""}], ""lock"": 1}"
