"{""chat"": [{""sex"": ""1"", ""content"": ""好久不见了，没想到你比以前更漂亮了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""来个华丽的自我介绍跳过我们的陌生感""}, {""sex"": ""2"", ""content"": ""介绍什么?""}, {""sex"": ""1"", ""content"": ""当然是名字，你还想给我介绍身体？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""这里的人真多啊……""}, {""sex"": ""1"", ""content"": ""今天世界之窗有快乐男声演唱会，你不知道么？""}, {""sex"": ""1"", ""content"": ""今天天气挺好，很适合来公园放风筝。""}, {""sex"": ""1"", ""content"": ""这个公仔真可爱。你也来买公仔么？我看上这个了，不要跟我抢哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好甜哦""}, {""sex"": ""1"", ""content"": ""那你想不想尝一口？""}, {""sex"": ""1"", ""content"": ""要是跟你在一起，我会更甜哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你过得好吗""}, {""sex"": ""1"", ""content"": ""没有你在我身边，我怎么过得好。""}, {""sex"": ""1"", ""content"": ""你想我过得好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说你""}, {""sex"": ""1"", ""content"": ""我怎么了，我只不过是太喜欢你了""}, {""sex"": ""1"", ""content"": ""别说我啦，我的心里只有你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想理你啊""}, {""sex"": ""1"", ""content"": ""你小心我变成天津狗不理！""}, {""sex"": ""1"", ""content"": ""没事，我理你就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好丫""}, {""sex"": ""1"", ""content"": ""有你在会更好哟""}, {""sex"": ""1"", ""content"": ""好是好，就是没你在身边""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""正脸丑""}, {""sex"": ""1"", ""content"": ""谁敢说你丑了！我揍他""}, {""sex"": ""1"", ""content"": ""你这么好看啥时候丑了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""暴打你""}, {""sex"": ""1"", ""content"": ""动不动就是打我，我就这么好打的吗？""}, {""sex"": ""1"", ""content"": ""我什么时候被你沦为沙包了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""舔舌头""}, {""sex"": ""1"", ""content"": ""你这是在诱惑我嘛？""}, {""sex"": ""1"", ""content"": ""对不起，我好像对你心动了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有酒吗？""}, {""sex"": ""1"", ""content"": ""你有故事吗？""}, {""sex"": ""1"", ""content"": ""故事和酒我都有，就等你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你吃了吧""}, {""sex"": ""1"", ""content"": ""你都没让我吃，你说我吃没吃啊""}, {""sex"": ""1"", ""content"": ""就算吃了这时候也要说没吃！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃你个头""}, {""sex"": ""1"", ""content"": ""我的头这么大，你真的要吃吗？""}, {""sex"": ""1"", ""content"": ""不然吃你也行。""}], ""lock"": 1}"
