"{""chat"": [{""sex"": ""1"", ""content"": ""我觉得你应该赔偿我""}, {""sex"": ""2"", ""content"": ""为啥？""}, {""sex"": ""1"", ""content"": ""你的眼睛会放电，把我电蒙了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你知不知道我喜欢你很久了""}, {""sex"": ""2"", ""content"": ""啊？可我一直当你是兄弟?""}, {""sex"": ""1"", ""content"": ""兄弟，你搞基吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""加我干嘛？""}, {""sex"": ""1"", ""content"": ""为了世界和平与稳定百姓安居乐业没有战争，有必要和你提升友谊，情感互动""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我好看吗""}, {""sex"": ""1"", ""content"": ""你难道不好看吗！""}, {""sex"": ""1"", ""content"": ""好不好看我知道。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最近好吗""}, {""sex"": ""1"", ""content"": ""好不好的得你自己看""}, {""sex"": ""1"", ""content"": ""你觉得你不在我能好吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是你吧""}, {""sex"": ""1"", ""content"": ""梦里不是见过吗，是不是你还不知道吗""}, {""sex"": ""1"", ""content"": ""是我，最后留在你身边的还是我！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""带走""}, {""sex"": ""1"", ""content"": ""我要把你装进口袋带走""}, {""sex"": ""1"", ""content"": ""带走吧，把我的心带走，把我的人也带走""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""走呀""}, {""sex"": ""1"", ""content"": ""都走到你心里了，还能走去哪里呀""}, {""sex"": ""1"", ""content"": ""不想走，只想赖在你身边""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃你的""}, {""sex"": ""1"", ""content"": ""那你就一辈子都吃我的吧""}, {""sex"": ""1"", ""content"": ""我 不能吃独食，我要给你留一些呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我猜你不猜""}, {""sex"": ""1"", ""content"": ""你猜呗，猜对了就有奖励。""}, {""sex"": ""1"", ""content"": ""那算了，大家一起不猜！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我看看你""}, {""sex"": ""1"", ""content"": ""看久了，你很容易对我心动的。""}, {""sex"": ""1"", ""content"": ""别看了，再看下去你会喜欢我的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在追我吗""}, {""sex"": ""1"", ""content"": ""你希望被我追吗？""}, {""sex"": ""1"", ""content"": ""追到我就嘿嘿嘿。""}], ""lock"": 1}"
