"{""chat"": [{""sex"": ""2"", ""content"": ""今天请假了""}, {""sex"": ""1"", ""content"": ""刚好你请假 ，我又得知情报?不如一起去玩玩""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是女强人""}, {""sex"": ""1"", ""content"": ""独立自主的新时代女性，出于对你的欣赏，晚上请你看电影。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你谁啊""}, {""sex"": ""1"", ""content"": ""我是你在等的人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我对你好吗""}, {""sex"": ""1"", ""content"": ""好，但我希望是对男朋友的那种好。""}, {""sex"": ""1"", ""content"": ""好到我想把你娶回家了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好～""}, {""sex"": ""1"", ""content"": ""现在是流行这么官方的打招呼方式吗？""}, {""sex"": ""1"", ""content"": ""刚才还不好，看到你这一刻就变好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你看你看""}, {""sex"": ""1"", ""content"": ""我看到你了，这么好看的你。""}, {""sex"": ""1"", ""content"": ""我看啥啊，我只能看到你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""挺想你""}, {""sex"": ""1"", ""content"": ""那你想吧，使劲的想我！""}, {""sex"": ""1"", ""content"": ""巧了，我也刚好想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就我丑""}, {""sex"": ""1"", ""content"": ""哪里丑了，明明那么好看！""}, {""sex"": ""1"", ""content"": ""你要是丑，别人岂不是连丑都不如了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好呀你好呀你好呀""}, {""sex"": ""1"", ""content"": ""没想到小仙女对我这么热情呢""}, {""sex"": ""1"", ""content"": ""你好呀，小仙女好像对我很有兴趣呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你爱猜不猜""}, {""sex"": ""1"", ""content"": ""我要是猜对了，你就亲我一下。""}, {""sex"": ""1"", ""content"": ""猜你是不是喜欢我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你看过？""}, {""sex"": ""1"", ""content"": ""我在梦里看过你。""}, {""sex"": ""1"", ""content"": ""看过了，所以得对你负责啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早看你。。""}, {""sex"": ""1"", ""content"": ""别看了，我眼里都是你呀。""}, {""sex"": ""1"", ""content"": ""早就看出我对你心照不宣了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""以为""}, {""sex"": ""1"", ""content"": ""我以为仙女只是传说，没想到是真的存在""}, {""sex"": ""1"", ""content"": ""你以为的以为只是你以为""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你准备被我揍了""}, {""sex"": ""1"", ""content"": ""看来被揍的命运是躲不开了。""}, {""sex"": ""1"", ""content"": ""揍一顿感情会变好的。""}], ""lock"": 1}"
