"{""chat"": [{""sex"": ""1"", ""content"": ""头像是本人吗?""}, {""sex"": ""2"", ""content"": ""不是 ????""}, {""sex"": ""1"", ""content"": ""那就好 ，起码我是在确定撩妹""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你好……请问附近有个星巴克，你知道在哪里么？?""}, {""sex"": ""2"", ""content"": ""知道/不知道?""}, {""sex"": ""1"", ""content"": ""很谢谢你……你在这里逛街啊，我朋友还没有来。我觉得你人特别好，如果有机会的话，应该一起坐坐，喝杯咖啡，我们说不定能成为不错的朋友""}, {""sex"": ""2"", ""content"": ""（给出回应）""}, {""sex"": ""1"", ""content"": ""我一会儿就要去找朋友了，希望能再见到你，不如我们交换个联系方式吧！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""帅哥你好呀 ！""}, {""sex"": ""1"", ""content"": ""第一次就这么给你了。 。?""}, {""sex"": ""2"", ""content"": ""?""}, {""sex"": ""1"", ""content"": ""这是我第一次被美女搭讪""}, {""sex"": ""1"", ""content"": "" 我心情不怎么好""}, {""sex"": ""2"", ""content"": ""为甚么？""}, {""sex"": ""1"", ""content"": ""因为我还没有收到你的电话号码""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""帅的人，你先做个自我介绍吧""}, {""sex"": ""1"", ""content"": ""我最大的特点竟然被你看出来了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好好呀""}, {""sex"": ""1"", ""content"": ""所以你要好好珍惜我呀。""}, {""sex"": ""1"", ""content"": ""我可不是对谁都这么好的哦，我只对你好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦你好""}, {""sex"": ""1"", ""content"": ""这么官方的嘛？""}, {""sex"": ""1"", ""content"": ""小姐姐是不是有点敷衍了呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦好的""}, {""sex"": ""1"", ""content"": ""那就先这样定下啦！""}, {""sex"": ""1"", ""content"": ""你放心，以后我会对你好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好看吗？""}, {""sex"": ""1"", ""content"": ""我不好看，我只是耐看罢了。""}, {""sex"": ""1"", ""content"": ""好看啊，你要不要来看看。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想见你只想见你""}, {""sex"": ""1"", ""content"": ""这么深的想念，搞得我一直打喷嚏了。""}, {""sex"": ""1"", ""content"": ""只是想想而已吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嘿，你好！""}, {""sex"": ""1"", ""content"": ""刚说你说完你好，我就又忍不住想跟你说话了""}, {""sex"": ""1"", ""content"": ""你好你好，花儿对你笑""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好！""}, {""sex"": ""1"", ""content"": ""大家好才是真的好""}, {""sex"": ""1"", ""content"": ""哈喽！我发现你特别有眼光。""}, {""sex"": ""1"", ""content"": ""在做什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有错吗""}, {""sex"": ""1"", ""content"": ""有！错在没有早点遇到你""}, {""sex"": ""1"", ""content"": ""我爱你怎么会有错呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你吃呗""}, {""sex"": ""1"", ""content"": ""一个人吃多无趣啊，你陪着我呗。""}, {""sex"": ""1"", ""content"": ""好吃的东西要分享才会变得更好吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜猜呀""}, {""sex"": ""1"", ""content"": ""你在想我会不会猜""}, {""sex"": ""1"", ""content"": ""猜中了你亲我一下，猜错了我亲你一下""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜！""}, {""sex"": ""1"", ""content"": ""我猜你猜我猜不猜呢。""}, {""sex"": ""1"", ""content"": ""女人心海底针，你还让我猜！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你看过""}, {""sex"": ""1"", ""content"": ""对呀，看过了还不错呢""}, {""sex"": ""1"", ""content"": ""看过了也还可以再跟你一起看呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不等你等谁""}, {""sex"": ""1"", ""content"": ""竟然是在等我，我好感动""}, {""sex"": ""1"", ""content"": ""啊啊啊，让小仙女久等了，实在抱歉""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等你长大""}, {""sex"": ""1"", ""content"": ""等我娶你。""}, {""sex"": ""1"", ""content"": ""我不会让你等太久的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我妈妈不舒服""}, {""sex"": ""1"", ""content"": ""咱妈怎么了，有没有去医院看看。""}, {""sex"": ""1"", ""content"": ""怎么会不舒服呢，那你要好好照顾妈妈啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你太信我""}, {""sex"": ""1"", ""content"": ""如果连自己喜欢的人都不信，我还能信谁。""}, {""sex"": ""1"", ""content"": ""信春哥得永生啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""相信你啦""}, {""sex"": ""1"", ""content"": ""我会对得起你的信任。""}, {""sex"": ""1"", ""content"": ""那你就好好相信我吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想要吗？""}, {""sex"": ""1"", ""content"": ""那你愿意给我吗？""}, {""sex"": ""1"", ""content"": ""想要啊，不要白不要。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""揍扁你""}, {""sex"": ""1"", ""content"": ""看来以后的家庭生活看来是水生火热了。""}, {""sex"": ""1"", ""content"": ""想揍我想疯了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干啥呢你""}, {""sex"": ""1"", ""content"": ""在想你有没有想我呢。""}, {""sex"": ""1"", ""content"": ""你猜猜我在干啥。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不睡吗？""}, {""sex"": ""1"", ""content"": ""睡啊，这不是等你出现在我梦里嘛。""}, {""sex"": ""1"", ""content"": ""怕你没睡无聊，就在等你睡了我再睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""电死你""}, {""sex"": ""1"", ""content"": ""你这十万伏特的电流眼，我有点怕。""}, {""sex"": ""1"", ""content"": ""有本事电晕我！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""停电啦""}, {""sex"": ""1"", ""content"": ""这么热的天停电，简直要命哦。""}, {""sex"": ""1"", ""content"": ""那你快到我家来蹭电。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""瞎子""}, {""sex"": ""1"", ""content"": ""没办法，我就是瞎着说大实话呢。""}, {""sex"": ""1"", ""content"": ""瞎子都能看出我喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你骗我""}, {""sex"": ""1"", ""content"": ""这不叫骗，这是善意的谎言。""}, {""sex"": ""1"", ""content"": ""你骗走了我的心，礼尚往来嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛你在干嘛""}, {""sex"": ""1"", ""content"": ""对我这么干嘛这么好奇，是不是怕我没在想你呀""}, {""sex"": ""1"", ""content"": ""想你，想你，想你，想见你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛呢？？""}, {""sex"": ""1"", ""content"": ""小仙女这么关心我在干嘛干嘛呢""}, {""sex"": ""1"", ""content"": ""嘿嘿嘿，你是不是想我了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""放心里""}, {""sex"": ""1"", ""content"": ""你早就被我放在心里面了。""}, {""sex"": ""1"", ""content"": ""自从你走进我的心里，我就没打算放你出去。""}], ""lock"": 1}"
