"{""chat"": [{""sex"": ""1"", ""content"": ""麻烦你把头像删掉""}, {""sex"": ""2"", ""content"": ""为什么?""}, {""sex"": ""1"", ""content"": ""太美，我容易投入感情""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要认识我啊""}, {""sex"": ""1"", ""content"": ""你看起来像是我妈妈的儿媳妇""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""看到你我突然有个问题 ""}, {""sex"": ""2"", ""content"": ""什么问题？""}, {""sex"": ""1"", ""content"": ""你只是今天这么可爱还是天天这么可爱""}, {""sex"": ""2"", ""content"": ""笑脸的表情""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好喜欢你哦""}, {""sex"": ""1"", ""content"": ""春水初生,春林初盛,春风十里,不如你！""}, {""sex"": ""1"", ""content"": ""跟你这种人，除了恋爱没什么好谈的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是 ""}, {""sex"": ""1"", ""content"": ""对我这么好奇吗""}, {""sex"": ""1"", ""content"": ""想知道的话，就见面说吧""}, {""sex"": ""1"", ""content"": ""我是你命中注定的那个人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你泡我""}, {""sex"": ""1"", ""content"": ""那得按着步骤来，先扭一扭舔一舔才能泡一泡。""}, {""sex"": ""1"", ""content"": ""需要几度才能把你泡开呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""赶你走""}, {""sex"": ""1"", ""content"": ""把我赶走了，谁来哄你开心啊？""}, {""sex"": ""1"", ""content"": ""腿长在我身上，我还是会走回来的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜一猜""}, {""sex"": ""1"", ""content"": ""我猜不出来急眼了，就会打你屁屁的！""}, {""sex"": ""1"", ""content"": ""曾经有人告诉我，女孩的心思你别猜""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看你啦""}, {""sex"": ""1"", ""content"": ""那你就好好看着我！""}, {""sex"": ""1"", ""content"": ""你这么看着我，我都不好意思了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我等你。""}, {""sex"": ""1"", ""content"": ""你为什么要对我这么好？""}, {""sex"": ""1"", ""content"": ""你为什么要等我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我以为是""}, {""sex"": ""1"", ""content"": ""小傻瓜，你果然还是太天真了""}, {""sex"": ""1"", ""content"": ""不是你以为，事实就是你想的那样""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""因为有你啊""}, {""sex"": ""1"", ""content"": ""我原来还有这个效果啊""}, {""sex"": ""1"", ""content"": ""因为我所以你不用怕的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""陪你一会""}, {""sex"": ""1"", ""content"": ""我想要你陪我很久很久。""}, {""sex"": ""1"", ""content"": ""陪我一会我就舍不得让你走了。""}], ""lock"": 1}"
