"{""chat"": [{""sex"": ""2"", ""content"": ""你干嘛呢？""}, {""sex"": ""1"", ""content"": ""在和说干嘛的人聊天呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你也在等人么？?""}, {""sex"": ""1"", ""content"": ""我也在等我的朋友，他过几分钟就过来了。不知怎么的，我觉得很想认识你，刚才就忍不住过来和你说话了……""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你好像我的一个朋友""}, {""sex"": ""2"", ""content"": ""你咋那么老套？""}, {""sex"": ""1"", ""content"": ""这说明我撩妹技术不太高，没人实验啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""hi 美女 是不是你掉的益达""}, {""sex"": ""2"", ""content"": ""不是""}, {""sex"": ""1"", ""content"": ""其实我只是想认识一下美丽的小姐而已""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你住哪，你做啥工作，你啥名字""}, {""sex"": ""1"", ""content"": ""请问这是在相亲吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好吃哦""}, {""sex"": ""1"", ""content"": ""我家里还有好多好多好吃的，要不要来？""}, {""sex"": ""1"", ""content"": ""真这么好吃？那你下次请我去吃好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦，你好""}, {""sex"": ""1"", ""content"": ""怎么感觉刚开始的聊天就被你给终结了。""}, {""sex"": ""1"", ""content"": ""最怕空气突然安静，最怕你突然的冷静。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你看我好看吗""}, {""sex"": ""1"", ""content"": ""你看我眼里的你好看吗？""}, {""sex"": ""1"", ""content"": ""你的好看，我已经不需要多说了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好骗吗""}, {""sex"": ""1"", ""content"": ""你可以选择欺骗我，但你就会失去我的信任""}, {""sex"": ""1"", ""content"": ""我不好骗，但如果是你，我心甘情愿被你骗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说你说""}, {""sex"": ""1"", ""content"": ""你要懂得克制，别爱上我了就可以""}, {""sex"": ""1"", ""content"": ""那你愿不愿意听我的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不理我了""}, {""sex"": ""1"", ""content"": ""我才没有不理你好不好！""}, {""sex"": ""2"", ""content"": ""你有！""}, {""sex"": ""1"", ""content"": ""我怎么可能不理小仙女呢！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好好想想""}, {""sex"": ""1"", ""content"": ""我现在脑子里都是你，想不了。""}, {""sex"": ""1"", ""content"": ""想你的心花怒放了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""对你好不好""}, {""sex"": ""1"", ""content"": ""不管你对我好不好，你都是我最爱的人。""}, {""sex"": ""1"", ""content"": ""我老婆对我那必须好啊。""}], ""lock"": 1}"
