"{""chat"": [{""sex"": ""2"", ""content"": ""我觉得我好像在哪见过你""}, {""sex"": ""1"", ""content"": ""真奇怪，我也有这种感觉，莫非你就是我的百分百女孩""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也好好的""}, {""sex"": ""1"", ""content"": ""没娶你之前我都会好好的。""}, {""sex"": ""1"", ""content"": ""放心吧我会好好的，你只管照顾好自己就行了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我有故事，你有酒吗？""}, {""sex"": ""1"", ""content"": ""我有酒，可以跟你有故事吗？""}, {""sex"": ""1"", ""content"": ""没有酒的话，怎么进入你的故事呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你走错了""}, {""sex"": ""1"", ""content"": ""没有啊，我就是要走进你心里。""}, {""sex"": ""1"", ""content"": ""我可能是走错了，那你带我走到正确的路上吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想出去走走""}, {""sex"": ""1"", ""content"": ""那我陪你去走走，好不好？""}, {""sex"": ""1"", ""content"": ""没有我陪你，可千万别迷路了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜""}, {""sex"": ""1"", ""content"": ""我猜对了是不是应该有个奖励呢。""}, {""sex"": ""1"", ""content"": ""你猜我猜不猜？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么追你啊""}, {""sex"": ""1"", ""content"": ""你喜欢怎么追就怎么追！""}, {""sex"": ""1"", ""content"": ""当然是用心啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你追我啊""}, {""sex"": ""1"", ""content"": ""那你有本事别跑啊！""}, {""sex"": ""1"", ""content"": ""追到了之后有什么奖励啊？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你孤独吗""}, {""sex"": ""1"", ""content"": ""你寂寞吗？""}, {""sex"": ""1"", ""content"": ""人不就是生而孤独的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要娶我啊""}, {""sex"": ""1"", ""content"": ""需要准备多少聘礼才比较合适呀。""}, {""sex"": ""1"", ""content"": ""放心，我一定来娶你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""挣钱娶我""}, {""sex"": ""1"", ""content"": ""不管娶你要多少钱，我都会努力去挣的。""}, {""sex"": ""1"", ""content"": ""你放心，我已经在存老婆本了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你抗揍不""}, {""sex"": ""1"", ""content"": ""别下死手的话，我还是挺抗揍的。""}, {""sex"": ""1"", ""content"": ""要是不抗揍的话，会怎么样。""}], ""lock"": 1}"
