"{""chat"": [{""sex"": ""1"", ""content"": ""我们能够认识也算一种缘分吧""}, {""sex"": ""2"", ""content"": ""认识是一种缘分，但可能不适合""}, {""sex"": ""1"", ""content"": ""没事，适合不适合我们试试才知道啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要微信？?""}, {""sex"": ""1"", ""content"": ""跳过嘈杂的夜店来到温馨的港湾，你微信里有一个不仅帅还超可爱的男人值得你拥有""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想想吧""}, {""sex"": ""1"", ""content"": ""当然要想，还要想的美""}, {""sex"": ""1"", ""content"": ""那我就好好想想你吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""丑吧""}, {""sex"": ""1"", ""content"": ""丑是丑了点，不过我喜欢就好。""}, {""sex"": ""1"", ""content"": ""哪里丑了，明明是个小可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要你你丑""}, {""sex"": ""1"", ""content"": ""我的丑最后还不是为了承托你的美。""}, {""sex"": ""1"", ""content"": ""这不是丑，这只是我美的不够明显。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可爱你可爱""}, {""sex"": ""1"", ""content"": ""不对，只有你比较可爱而已""}, {""sex"": ""1"", ""content"": ""我的可爱还不是被你传染的啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想我打你""}, {""sex"": ""1"", ""content"": ""我才不想呢，我又不是受虐狂。""}, {""sex"": ""1"", ""content"": ""打吧打吧，你打我就说明你爱我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜我猜我不猜""}, {""sex"": ""1"", ""content"": ""那你觉得我猜不猜你猜我猜不猜。""}, {""sex"": ""1"", ""content"": ""我不猜，你们女人心那么深。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""让你看看""}, {""sex"": ""1"", ""content"": ""好呀，那我可得看仔细了""}, {""sex"": ""1"", ""content"": ""我终于可以见识小仙女的真面目啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等你等你""}, {""sex"": ""1"", ""content"": ""我已经在来的路上了。""}, {""sex"": ""1"", ""content"": ""我不会让你久等的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等着你啊""}, {""sex"": ""1"", ""content"": ""我一定不会辜负你的等待。""}, {""sex"": ""1"", ""content"": ""等着我来爱你吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说的是我吗""}, {""sex"": ""1"", ""content"": ""满心满眼就你一个人，不是说你是说谁？""}, {""sex"": ""1"", ""content"": ""笨蛋，你连自己都认不出来了吗？""}], ""lock"": 1}"
