"{""chat"": [{""sex"": ""2"", ""content"": ""早鸭""}, {""sex"": ""1"", ""content"": ""早安，么么哒。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好""}, {""sex"": ""1"", ""content"": ""我不好""}, {""sex"": ""2"", ""content"": ""咋啦？""}, {""sex"": ""1"", ""content"": ""没能早点认识你""}, {""sex"": ""2"", ""content"": ""现在也不晚""}, {""sex"": ""1"", ""content"": ""晚的很，早点孩子都打酱油了，都要操心孩子作业了?""}, {""sex"": ""2"", ""content"": ""想那么远?""}, {""sex"": ""1"", ""content"": ""我们还是走个过程，先来个自我介绍""}, {""sex"": ""2"", ""content"": ""我没出息""}, {""sex"": ""1"", ""content"": ""很好，绝配，恰好我很有出息?""}, {""sex"": ""2"", ""content"": ""你果然会聊天""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""想不想养狗啊""}, {""sex"": ""2"", ""content"": ""什么狗啊?""}, {""sex"": ""1"", ""content"": ""单身的那种狗，比如说我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""滚，不想理你""}, {""sex"": ""1"", ""content"": ""不理我会长痘痘的。""}, {""sex"": ""1"", ""content"": ""滚到你心里了，你怎么能不理我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好啊！""}, {""sex"": ""1"", ""content"": ""有你在就更好了""}, {""sex"": ""1"", ""content"": ""看到你不好也得好""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""╰(*°▽°*)╯你好鸭~""}, {""sex"": ""1"", ""content"": ""小仙女的你好我收到啦""}, {""sex"": ""1"", ""content"": ""小仙女你好鸭，看到你心情都好了呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是。？""}, {""sex"": ""1"", ""content"": ""你连帅哥都记不住的吗""}, {""sex"": ""1"", ""content"": ""我是谁，说出来怕吓死你哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好啊你好啊""}, {""sex"": ""1"", ""content"": ""小仙女也好！你一跟我打招呼我就精神了""}, {""sex"": ""1"", ""content"": ""我很好！我想小仙女现在一定也很好吧？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说有就有吧""}, {""sex"": ""1"", ""content"": ""那我说你有在喜欢我，也有哦？""}, {""sex"": ""1"", ""content"": ""看来我在你心里的地位还是很重要的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要看你""}, {""sex"": ""1"", ""content"": ""那你就好好看看我呗。""}, {""sex"": ""1"", ""content"": ""你这么看我，我都不好意思了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没追求""}, {""sex"": ""1"", ""content"": ""我的追求是跟你的未来。""}, {""sex"": ""1"", ""content"": ""那你追我吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你等着我""}, {""sex"": ""1"", ""content"": ""天青色等烟雨，而我在等你~""}, {""sex"": ""1"", ""content"": ""我等你，无论多久我都会等你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我等你哈""}, {""sex"": ""1"", ""content"": ""放心吧，我不会让你久等的。""}, {""sex"": ""1"", ""content"": ""对不起，我让你等我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你说说吧""}, {""sex"": ""1"", ""content"": ""那我就开始说一些关于你我的话题了。""}, {""sex"": ""1"", ""content"": ""你想听我说些什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想挨揍吗""}, {""sex"": ""1"", ""content"": ""老公其实就是给老婆揍的。""}, {""sex"": ""1"", ""content"": ""麻烦不要打脸，谢谢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""骗我啥""}, {""sex"": ""1"", ""content"": ""骗走你的心。""}, {""sex"": ""1"", ""content"": ""没骗你没骗你，我怎么可能骗你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还骗我吗""}, {""sex"": ""1"", ""content"": ""骗！把你骗到我家户口本上！""}, {""sex"": ""1"", ""content"": ""骗你干嘛，你又没钱没色的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛(⊙o⊙?)""}, {""sex"": ""1"", ""content"": ""我在想一件大事""}, {""sex"": ""1"", ""content"": ""在思考你接下来要干嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咬你呀""}, {""sex"": ""1"", ""content"": ""哇，我被咬了，我要去打狂犬疫苗！""}, {""sex"": ""1"", ""content"": ""来来来，就咬我嘴巴好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我有咬人的习惯""}, {""sex"": ""1"", ""content"": ""咬吧，反正以后还是得咬的。""}, {""sex"": ""1"", ""content"": ""那你以后只能咬我一个人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你来 我请你""}, {""sex"": ""1"", ""content"": ""小心我把你吃穷了哦。""}, {""sex"": ""1"", ""content"": ""那还是我请客你买单吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好可爱哦""}, {""sex"": ""1"", ""content"": ""都怪你，被你传染的变得这么可爱了。""}, {""sex"": ""1"", ""content"": ""可爱不敢当，我只想可爱你了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不可爱哦""}, {""sex"": ""1"", ""content"": ""但是我就这么爱上你了呢。""}, {""sex"": ""1"", ""content"": ""没事，你还有好看。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真的够了""}, {""sex"": ""1"", ""content"": ""不够，爱你怎么能够呢。""}, {""sex"": ""1"", ""content"": ""够了，我的喜欢够了现在换爱了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想吻你""}, {""sex"": ""1"", ""content"": ""心动不如行动。""}, {""sex"": ""1"", ""content"": ""想法很不错！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想了很久""}, {""sex"": ""1"", ""content"": ""那你想出一个结果了吗？""}, {""sex"": ""1"", ""content"": ""没事，你慢慢想，总得想清楚。""}], ""lock"": 1}"
